Category,Answers,Questions
textlocal,"Yes, you can send text messages internationally. However, please contact your account manager to enable this feature. Each message sent will use up a certain amount of credits depending on the country it is being sent to. Mobile marketing in North America is subject to local regulations so we are not able to support this region. Contact us for a full list of which countries you can send to, the networks they use and the amount of credits the message will use.",Can I send messages outside the UK?
textlocal,"SMS stands for Short Message Service, and refers to sending short text messages from one device to another. The size of an SMS text message is restricted to 160 characters.
MMS stands for Multimedia Messaging Service. MMS is an expansion of the SMS format that is able to send larger quantities of information per individual message. With an MMS, you're able to send multimedia content types including video, images and audio to another device.
The difference between SMS and MMS boils down to MMS being able to send multimedia content, while SMS can't.",What is the difference between SMS and MMS?
textlocal,"An SMS gateway is the means through which a computer can send or receive SMS messages. Often allowing for the conversion and sending of other forms of media or message (such as email), SMS gateways will generally utilise the same mobile phone networks as the messages sent from mobile phones.",What is an SMS gateway?
textlocal,"There are no contracts involved in running a Messenger account – it all works on a pay as you go basis, so you can send text messages with no hassle. If you purchase any inbound systems they have a minimum term of one month which is renewable.",Are there any contracts or commitments with Messenger?
textlocal,"You do not need a mobile phone; messages are sent and received from Messenger. It is all web based so you do not need to download anything. All you need is an internet enabled PC, Mac or Tablet.",Do I need a mobile phone?
textlocal,"It's essentially the same process that you would go through when sending a standard SMS message on your phone, only on your computer. With a Textlocal Messenger account for you or your business, it's as simple as typing in your message, selecting the number you wish it to be sent to, and pressing send. Job done.",How can I send and receive SMS messages online?
textlocal,The cost depends on how many credits you want to buy; one credit equals one text message to one UK phone and the credits last indefinitely. The cost of our credit bundles can be found by logging into your account.,How much does it cost to send a message?
textlocal,"We do not provide data, however we do offer a SMS short number which is extremely effective in collecting opt-in numbers and opt ins from your customers and can be used alongside any text marketing activity.",Does Textlocal provide data?
textlocal,"Any UK business, society or community group can use Textlocal to reach out to customers, staff or friends with SMS, instantly connecting to people where ever they are. With different levels of service, there's something to suit an organisation regardless of size. Textlocal offers unbeatable prices, with packages starting from £5 for 100 messages, there's also excellent support with passionate experts here to help.",Who can use Textlocal services?
textlocal,Any phone registered on a UK Network can send a text to a UK short number whether in the UK or abroad at the time. Our Dedicated Inbound Numbers are on UK or Irish Networks and can receive texts from anywhere. The cost to the sender will be their standard network rate for texting a UK/Irish Network.,Can people text my short number or Dedicated Inbound Number from abroad?
